START MPC DATA
Title
  No title given
File version
 1
 
START DENSITY DATA
Self-consistent charge density in reciprocal space
  0.0000000000000000E+00  5.5998626726854650E-01 -1.8731143539889834E+00
  8.2253134648764181E-01 -1.6799588018056395E+00  5.6897418196617722E-01
  8.2253134648764181E-01  1.6799588018056395E+00  5.6897418196617722E-01
 -8.2253134648764181E-01  1.6799588018056395E+00 -5.6897418196617722E-01
 -8.2253134648764181E-01 -1.6799588018056395E+00 -5.6897418196617722E-01
 -4.1126567324382091E-01  1.1199725345370930E+00  1.5886272630058949E+00
  4.1126567324382091E-01 -1.1199725345370930E+00 -1.5886272630058949E+00
 -4.1126567324382091E-01 -1.1199725345370930E+00  1.5886272630058949E+00
  4.1126567324382091E-01  1.1199725345370930E+00 -1.5886272630058949E+00
 -1.6450626929752836E+00  1.1199725345370930E+00 -2.0139118693786273E-01
 -1.6450626929752836E+00 -1.1199725345370930E+00 -2.0139118693786273E-01
  1.6450626929752836E+00 -1.1199725345370930E+00  2.0139118693786273E-01
  1.6450626929752836E+00  1.1199725345370930E+00  2.0139118693786273E-01
  1.6450626929752836E+00  0.0000000000000000E+00  1.1379483639323544E+00
 -1.6450626929752836E+00  0.0000000000000000E+00 -1.1379483639323544E+00
 -1.6450626929752836E+00  1.1199725345370930E+00  2.6688740155938317E-01
  1.6450626929752836E+00  1.1199725345370930E+00 -2.6688740155938317E-01
  1.6450626929752836E+00 -1.1199725345370930E+00 -2.6688740155938317E-01
 -1.6450626929752836E+00 -1.1199725345370930E+00  2.6688740155938317E-01
